word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B L,2,-5.626712630146933,nan,-5.000916861235298,nan,-5.015845343375937,nan,1.2663436749717207,nan,1.2658307481178173,nan,1.0312087912087913,nan,1.0292789711314818,nan
B L,2,-5.626712630146933,nan,-5.000916861235298,nan,-5.015845343375937,nan,1.2663436749717207,nan,1.2658307481178173,nan,1.0312087912087913,nan,1.0292789711314818,nan
B R,2,-4.7576501871127945,nan,-4.597017924159879,nan,-4.608661623169847,nan,1.5309590595871054,nan,1.5295959007394033,nan,1.0467399267399267,nan,1.043781639075113,nan
B R,2,-4.7576501871127945,nan,-4.597017924159879,nan,-4.608661623169847,nan,1.5309590595871054,nan,1.5295959007394033,nan,1.0467399267399267,nan,1.043781639075113,nan
B W,2,-6.253845063676799,nan,-inf,nan,-10.389042188164254,nan,1.146490195118241,nan,1.1463623678052717,nan,1,1,1.0001368176221097,1.0
B W,2,-6.253845063676799,nan,-inf,nan,-10.389042188164254,nan,1.146490195118241,nan,1.1463623678052717,nan,1,1,1.0001368176221097,1.0
D G,2,-6.29846956517568,nan,-inf,nan,-11.023253342519986,nan,1.087038968427041,nan,1.0871561242154575,nan,1,1,1.0001368176221097,1.0
D G,2,-6.29846956517568,nan,-inf,nan,-11.023253342519986,nan,1.087038968427041,nan,1.0871561242154575,nan,1,1,1.0001368176221097,1.0
D N,2,-6.500791788676304,nan,-inf,nan,-10.397175295833057,nan,1.103009664397737,nan,1.1030755049661514,nan,1,1,1.0001368176221097,1.0
D N,2,-6.500791788676304,nan,-inf,nan,-10.397175295833057,nan,1.103009664397737,nan,1.1030755049661514,nan,1,1,1.0001368176221097,1.0
D R,2,-4.475038752109974,nan,-5.010350893468657,nan,-5.0178136140668705,nan,1.5523869537750263,nan,1.5510089064558548,nan,1.030915750915751,nan,1.0290053358872622,nan
D R,2,-4.475038752109974,nan,-5.010350893468657,nan,-5.0178136140668705,nan,1.5523869537750263,nan,1.5510089064558548,nan,1.030915750915751,nan,1.0290053358872622,nan
D W,2,-5.9712336286739784,nan,-7.5289956828885085,nan,-7.496087700043352,nan,1.1679180893061618,nan,1.1677753735217231,nan,1.0024908424908425,nan,1.0024627171979752,nan
D W,2,-5.9712336286739784,nan,-7.5289956828885085,nan,-7.496087700043352,nan,1.1679180893061618,nan,1.1677753735217231,nan,1.0024908424908425,nan,1.0024627171979752,nan
F L,2,-5.788438493268807,nan,-4.692328103964204,nan,-4.710335206470798,nan,1.2565462602250315,nan,1.2560401407843365,nan,1.0424908424908426,nan,1.0398139280339307,nan
F L,2,-5.788438493268807,nan,-4.692328103964204,nan,-4.710335206470798,nan,1.2565462602250315,nan,1.2560401407843365,nan,1.0424908424908426,nan,1.0398139280339307,nan
F N,2,-6.945129086801,nan,-inf,nan,-10.401595141302295,nan,1.0717843554631268,nan,1.0718718919162191,nan,1,1,1.0001368176221097,1.0
F N,2,-6.945129086801,nan,-inf,nan,-10.401595141302295,nan,1.0717843554631268,nan,1.0718718919162191,nan,1,1,1.0001368176221097,1.0
F R,2,-4.9193760502346695,nan,-4.824874759926187,nan,-4.837556189049695,nan,1.5211616448404162,nan,1.5198052934059225,nan,1.0372161172161172,nan,1.0348884936379805,nan
F R,2,-4.9193760502346695,nan,-4.824874759926187,nan,-4.837556189049695,nan,1.5211616448404162,nan,1.5198052934059225,nan,1.0372161172161172,nan,1.0348884936379805,nan
F W,2,-6.415570926798674,nan,-inf,nan,-10.390879303408756,nan,1.1366927803715516,nan,1.1365717604717909,nan,1,1,1.0001368176221097,1.0
F W,2,-6.415570926798674,nan,-inf,nan,-10.390879303408756,nan,1.1366927803715516,nan,1.1365717604717909,nan,1,1,1.0001368176221097,1.0
G L,2,-6.347205264597408,nan,-5.487011703743573,nan,-5.5100101899660645,nan,1.2326532100685887,nan,1.2321636919323642,nan,1.0191941391941393,nan,1.0180599261184842,nan
G L,2,-6.347205264597408,nan,-5.487011703743573,nan,-5.5100101899660645,nan,1.2326532100685887,nan,1.2321636919323642,nan,1.0191941391941393,nan,1.0180599261184842,nan
G R,2,-5.478142821563269,nan,-4.560090651567661,nan,-4.582838404201777,nan,1.4972685946839734,nan,1.4959288445539503,nan,1.0484981684981685,nan,1.0454234505404296,nan
G R,2,-5.478142821563269,nan,-4.560090651567661,nan,-4.582838404201777,nan,1.4972685946839734,nan,1.4959288445539503,nan,1.0484981684981685,nan,1.0454234505404296,nan
G W,2,-6.9743376981272736,nan,-7.964313754146353,nan,-7.915126292530899,nan,1.112799730215109,nan,1.1126953116198186,nan,1.0016117216117215,nan,1.0016418114653167,nan
G W,2,-6.9743376981272736,nan,-7.964313754146353,nan,-7.915126292530899,nan,1.112799730215109,nan,1.1126953116198186,nan,1.0016117216117215,nan,1.0016418114653167,nan
K L,2,-4.951548923298312,nan,-4.820664722272284,nan,-4.8315994130076385,nan,1.315678398905857,nan,1.3151311934325378,nan,1.0417582417582418,nan,1.0391298399233821,nan
K L,2,-4.951548923298312,nan,-4.820664722272284,nan,-4.8315994130076385,nan,1.315678398905857,nan,1.3151311934325378,nan,1.0417582417582418,nan,1.0391298399233821,nan
K M,2,-5.199492317503896,nan,-inf,nan,-10.493417334256357,nan,1.1269604501879082,nan,1.1270196117179183,nan,1,1,1.0001368176221097,1.0
K M,2,-5.199492317503896,nan,-inf,nan,-10.493417334256357,nan,1.1269604501879082,nan,1.1270196117179183,nan,1,1,1.0001368176221097,1.0
K R,2,-4.0824864802641745,nan,-4.3028704291901985,nan,-4.3103756192273295,nan,1.5802937835212416,nan,1.5788963460541239,nan,1.0567032967032968,nan,1.0530852373785744,nan
K R,2,-4.0824864802641745,nan,-4.3028704291901985,nan,-4.3103756192273295,nan,1.5802937835212416,nan,1.5788963460541239,nan,1.0567032967032968,nan,1.0530852373785744,nan
K W,2,-5.578681356828179,nan,-4.87823457409376,nan,-4.896183637654023,nan,1.195824919052377,nan,1.1956628131199922,nan,1.0294505494505495,nan,1.027637159666165,nan
K W,2,-5.578681356828179,nan,-4.87823457409376,nan,-4.896183637654023,nan,1.195824919052377,nan,1.1956628131199922,nan,1.0294505494505495,nan,1.027637159666165,nan
L M,2,-5.640780288771423,nan,-inf,nan,-11.142912796121108,nan,1.0507302425459246,nan,1.050842370142578,nan,1,1,1.0001368176221097,1.0
L M,2,-5.640780288771423,nan,-inf,nan,-11.142912796121108,nan,1.0507302425459246,nan,1.050842370142578,nan,1,1,1.0001368176221097,1.0
L N,2,-6.549527488098032,nan,-inf,nan,-11.158513758292015,nan,1.0546862865019686,nan,1.0547857029890801,nan,1,1,1.0001368176221097,1.0
